Name,Agency,State,Unit_acres,Total_acres,year
Mount Skokomish Wilderness,FS,WA,13278,13278,1984
Mount Thielsen Wilderness,FS,OR,55127,55127,1984
Mount Timpanogos Wilderness,FS,UT,10518,10518,1984
Mount Trumbull Wilderness,BLM,AZ,7880,7880,1984
Mountain Lake Wilderness,FS,VA,13804,16525,1984
Mt. Shasta Wilderness,FS,CA,36981,36981,1984
Mt. Wrightson Wilderness,FS,AZ,25141,25141,1984
Mud Swamp/New River Wilderness,FS,FL,8075,8075,1984
Munds Mountain Wilderness,FS,AZ,18109,18109,1984
Noisy-Diobsud Wilderness,FS,WA,14228,14228,1984
Norse Peak Wilderness,FS,WA,52297,52297,1984
North Fork John Day Wilderness,FS,OR,120998,120998,1984
North Fork Umatilla Wilderness,FS,OR,20225,20225,1984
North Fork Wilderness,FS,CA,8158,8158,1984
Paiute Wilderness,BLM,AZ,87900,87900,1984
Pajarita Wilderness,FS,AZ,7499,7499,1984
Paria Canyon-Vermilion Cliffs Wilderness,BLM,AZ,89400,110816,1984
Paria Canyon-Vermilion Cliffs Wilderness,BLM,UT,21416,110816,1984
Pemigewasset Wilderness,FS,NH,45809,45809,1984
Peru Peak Wilderness,FS,VT,7825,7825,1984
Peters Mountain Wilderness,FS,VA,4523,4523,1984
Pine Creek Wilderness,FS,CA,13261,13261,1984
Pine Valley Mountain Wilderness,FS,UT,50216,50216,1984
Platte River Wilderness,FS,CO,741,23290,1984
Platte River Wilderness,FS,WY,22549,23290,1984
Pocosin Wilderness,FS,NC,11801,11801,1984
Pond Pine Wilderness,FS,NC,1693,1693,1984
Popo Agie Wilderness,FS,WY,102620,102620,1984
Porcupine Lake Wilderness,FS,WI,4074,4074,1984
Poteau Mountain Wilderness,FS,AR,11141,11141,1984
Ramseys Draft Wilderness,FS,VA,6577,6577,1984
Red Buttes Wilderness,FS,CA,16356,20133,1984
Red Buttes Wilderness,FS,OR,3777,20133,1984
Red Rock-Secret Mountain Wilderness,FS,AZ,48314,48314,1984
Richland Creek Wilderness,FS,AR,11674,11674,1984
Rincon Mountain Wilderness,FS,AZ,36949,36949,1984
Rock Creek Wilderness,FS,OR,7273,7273,1984
Rogue-Umpqua Divide Wilderness,FS,OR,35749,35749,1984
Russian Wilderness,FS,CA,12521,12521,1984
Saddle Mountain Wilderness,FS,AZ,41143,41143,1984
Saint Mary's Wilderness,FS,VA,9826,9826,1984
Salmon-Huckleberry Wilderness,FS,OR,62114,62114,1984
Salmo-Priest Wilderness,FS,WA,41307,41307,1984
Salome Wilderness,FS,AZ,18534,18534,1984
Salt River Canyon Wilderness,FS,AZ,32114,32114,1984
San Mateo Canyon Wilderness,FS,CA,39413,39413,1984
Sandwich Range Wilderness,FS,NH,35303,35303,1984
Santa Rosa Wilderness,FS,CA,19698,78576,1984
Santa Teresa Wilderness,FS,AZ,26912,26912,1984
Sequoia-Kings Canyon Wilderness,NPS,CA,768222,768222,1984
Sheep Mountain Wilderness,FS,CA,43182,43182,1984
Sheep Ridge Wilderness,FS,NC,9315,9315,1984
Siskiyou Wilderness,FS,CA,179847,179847,1984
Sky Lakes Wilderness,FS,OR,113687,113687,1984
Snow Mountain Wilderness,FS,CA,60221,60221,1984
South Sierra Wilderness,FS,CA,60280,60280,1984
